Type,Age,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,PhotoAmt,AdoptionSpeed,Principal,Casual
1,12,3,1,3,3,2,1,2,0,0,-1
1,1,2,2,2,2,2,1,2,1,0,6
1,8,2,2,1,1,1,1,3,0,0,-25
1,3,1,1,3,3,3,1,2,0,0,22
2,6,2,1,2,2,2,1,5,0,0,18
1,2,2,1,2,2,2,1,5,1,3,-35
2,4,2,1,2,1,1,1,2,1,3,-40
2,6,2,1,3,3,3,1,3,0,0,-17
2,1,1,1,1,1,2,1,3,1,3,30
2,4,1,1,2,2,2,1,2,1,3,19
2,2,3,2,2,2,2,1,2,1,3,-14
1,1,1,1,2,1,2,1,1,1,3,21
1,48,1,2,1,1,1,1,1,1,3,28
2,3,1,1,2,2,2,1,4,0,0,5
1,1,2,2,2,1,2,1,1,0,0,-35
2,24,2,1,2,1,2,2,6,0,0,-10
1,18,2,1,1,1,1,1,10,1,0,13
2,6,2,1,1,1,1,1,1,0,0,8
1,16,1,1,1,1,3,1,3,1,0,29
2,2,1,1,1,1,2,1,5,1,3,-10
1,2,2,1,2,1,2,1,1,1,3,-31
1,2,2,1,2,2,2,1,7,0,0,6
1,8,2,2,1,1,2,1,5,0,0,-40
2,1,2,3,2,2,2,1,5,1,3,-26
1,1,2,2,2,2,2,1,2,1,3,-33
1,3,2,1,2,1,2,1,5,0,3,36
2,3,1,1,1,1,2,1,5,0,0,35
2,6,2,2,1,1,1,1,6,0,0,27
1,2,2,1,1,1,2,1,3,1,3,30
1,2,2,2,2,2,2,1,3,1,3,-26
1,8,2,1,2,2,2,1,1,1,3,-8
1,1,2,1,1,1,1,1,12,0,0,20
2,2,1,2,2,2,2,1,0,0,0,-29
1,8,2,1,1,1,1,1,9,1,3,-37
1,2,2,2,2,1,2,1,3,0,3,16
1,2,2,2,1,1,2,1,14,0,3,32
1,2,2,1,2,1,2,1,1,1,3,-8
1,1,2,2,1,1,2,1,2,1,3,10
2,1,1,1,3,3,2,1,1,0,0,-33
1,24,2,2,3,3,3,1,2,0,0,-4
1,1,2,1,3,3,3,1,15,1,3,-6
1,3,1,1,2,1,3,1,2,0,0,-21
1,4,2,1,1,1,2,1,6,0,0,9
2,4,2,1,1,1,2,1,5,0,0,-23
2,3,1,2,2,1,2,1,29,0,0,-10
